emp_no,count
39224,1
254496,2
72397,2
26264,1
299297,1
95374,2
42756,1
439741,1
89714,1
477756,1
254880,2
433252,2
26770,2
23000,2
472066,3
224251,1
401410,2
252740,1
448610,1
42422,1
297081,2
42583,2
17573,2
222339,3
487577,1
83629,1
108686,2
454754,2
256468,1
108729,2
280165,3
442832,1
36986,2
296911,1
280651,1
214108,2
493581,2
265108,2
87969,1
74383,2
465885,2
442243,3
445139,2
226997,1
286418,2
46402,1
462767,1
405349,1
447072,2
296368,1
56808,2
401634,2
236800,2
484387,1
420853,2
270951,1
424811,2
485707,1
252607,2
46910,2
242396,1
497707,1
463491,2
271186,1
238053,2
213228,2
98458,2
54566,2
15945,2
90886,1
263599,2
401768,2
279300,3
241942,1
442562,2
218675,3
45859,1
31019,2
17968,1
450556,1
439059,2
294749,1
222145,2
214385,2
79177,1
276695,2
59260,1
414468,1
258633,1
68155,1
63743,1
269309,1
451958,1
413603,2
229717,2
269019,2
95056,1
496384,1
238535,2
245777,1
23087,1
90150,1
242601,2
456930,1
243167,1
239606,1
228051,1
31429,2
93254,2
227854,1
101521,2
486393,2
232328,1
279620,2
247863,2
459397,2
97466,2
245096,1
277835,1
488141,2
73161,3
19381,2
430051,2
61376,2
249666,1
72609,1
245927,2
271699,1
58383,2
50218,2
67797,1
488751,2
229340,1
73758,2
453355,2
439272,1
492835,1
12464,1
296539,1
213159,2
264122,2
45788,3
480859,1
12165,1
263070,1
272975,1
222764,2
463463,1
48071,2
16858,2
13030,2
438055,1
499671,2
74897,2
412324,2
87366,2
43659,1
238105,1
46622,1
474951,1
63087,1
56057,1
416111,2
270008,1
212355,2
251124,2
447659,1
88145,2
496867,1
266487,1
17146,1
456941,2
476492,2
48393,1
491818,1
424399,2
222267,1
294172,1
466416,1
467705,1
83476,2
55261,2
470212,2
443557,2
473521,2
42088,1
236972,1
76772,1
449485,2
202013,2
401201,2
240834,1
251472,2
216468,1
253415,2
457372,2
206427,2
406068,2
108223,1
69771,2
238505,2
41979,2
281213,3
462911,2
226574,2
443752,1
285743,1
60207,1
426346,2
87492,1
411684,2
201141,2
243817,2
298094,2
252822,1
244454,2
211814,1
103344,2
228623,1
268355,2
254677,1
32246,2
13445,1
490660,2
105934,2
400962,1
454364,2
42125,1
299438,1
467460,2
267808,1
25546,2
465447,1
257261,1
471790,1
64572,1
447656,1
435327,1
458561,2
478771,1
467889,1
58462,2
426865,2
440010,2
273658,2
241553,2
218210,1
24572,1
209949,1
35827,1
424980,2
460522,1
86675,1
251801,2
221417,2
483981,1
451497,1
100115,2
28555,1
294728,2
242348,2
267244,2
228961,1
213069,1
32578,2
93491,2
70602,2
243278,2
48332,1
405667,2
453928,1
413928,1
78014,2
51806,1
221800,2
35693,2
432901,1
445600,2
267301,2
214765,1
235601,2
204172,1
73539,3
249748,1
106536,1
56325,1
418013,2
59142,1
438940,2
29788,2
106764,2
253212,2
230681,2
202915,2
279832,2
427966,1
411152,2
285534,2
434789,1
210208,2
73515,2
475265,2
98984,2
77852,2
220439,1
100092,2
474797,2
403867,2
237154,1
70767,1
457219,1
276173,1
280918,1
244948,2
84427,1
447116,2
249117,1
286921,2
47770,2
279286,2
211394,2
405288,2
405848,2
31802,3
423738,2
15479,2
18242,2
56110,2
291958,1
478095,2
61961,1
41422,2
264236,2
203488,2
21512,1
256575,2
237240,1
282820,2
67962,2
405783,2
86448,2
271033,1
412574,2
260418,2
213096,2
284516,2
50369,2
66194,2
72943,2
477912,2
472116,1
299608,1
52144,2
243255,1
469362,2
426446,1
497578,1
284655,1
57337,2
405654,1
35640,2
413478,1
213101,2
455030,1
235524,2
239989,2
471839,2
467242,2
70679,1
47616,1
272832,1
41046,2
255711,2
401211,2
207087,2
244590,1
258271,2
14724,2
452029,1
60653,1
266667,1
85219,1
12311,1
445137,2
468924,1
255590,1
225170,2
427724,1
485894,1
471107,1
53083,2
279064,2
201089,1
50275,1
412732,2
211280,1
52712,2
89912,1
492836,2
482035,1
456227,2
238787,2
230602,1
101505,2
104626,1
22601,2
34813,1
430501,2
452035,1
217070,2
49053,2
489088,2
104801,1
213978,2
290990,1
225842,1
80098,2
261624,2
74273,2
471716,1
83595,2
438799,1
238800,1
85154,2
42366,2
275447,2
13846,1
242837,1
91566,2
39909,2
16871,2
409073,2
25615,2
248626,1
434326,1
259849,2
482150,2
441820,1
285938,2
74868,2
74683,2
488980,2
470481,1
468141,1
51910,1
19454,1
52058,2
96521,2
461605,1
12642,2
231034,1
73735,1
298665,2
431430,2
100769,1
254117,2
94582,3
239756,1
417440,2
294781,1
498787,2
468291,1
277019,2
37372,2
263887,2
21458,2
488335,2
268941,2
237438,1
289489,2
444650,2
414142,2
257376,1
284876,2
241492,1
73868,2
48809,1
428299,2
425806,1
412912,2
278823,2
478316,2
272230,2
231193,1
85195,2
57945,2
204110,1
457612,1
499920,2
256863,2
244628,1
282402,2
107645,2
448357,2
435693,2
282705,1
259411,2
78195,2
281716,1
15510,2
274874,2
24140,3
462059,1
282792,2
48127,2
20626,1
106589,2
288138,2
273318,1
11805,1
232238,1
204483,1
475871,2
447505,1
225942,1
271319,1
440995,1
296810,1
257588,1
233155,2
72434,1
224141,2
441669,2
441030,1
408272,1
277554,2
31363,1
59029,1
414588,2
212064,2
468942,2
236126,1
14522,1
210110,2
269834,2
221888,1
480087,2
442539,1
16377,1
490368,1
99895,2
490724,1
223108,2
86523,1
464339,1
263462,1
243968,2
35394,2
245398,1
74202,2
214208,2
464366,1
213698,1
488776,1
426406,2
55476,1
235184,2
492225,2
283642,2
257817,1
